severerisk,precip,precip,precip,precip,precipprob,precipprob,precipprob,precipprob,precipcover,precipcover,precipcover,precipcover,sealevelpressure,sealevelpressure,sealevelpressure,sealevelpressure
,mean,median,max,min,mean,median,max,min,mean,median,max,min,mean,median,max,min
10.0,6.1152,0.1,162.0,0.0,51.471199999999996,69.35,100.0,0.0,6.300520000000001,4.17,79.17,0.0,1013.3708,1013.4,1016.6,1009.0
30.0,5.289423076923077,0.1,73.0,0.0,51.24070512820513,100.0,100.0,0.0,5.382596153846153,4.17,70.83,0.0,1012.2836538461538,1012.3,1015.8,1008.5
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.9,1009.9,1009.9,1009.9
60.0,3.5389312977099237,0.0,91.0,0.0,44.274809160305345,0.0,100.0,0.0,2.752290076335878,0.0,29.17,0.0,1010.8484732824427,1010.9,1014.1,1007.5
75.0,6.180434782608696,0.0,240.0,0.0,40.21739130434783,0.0,100.0,0.0,2.763695652173913,0.0,41.67,0.0,1010.2195652173913,1010.2,1013.9,1007.7
100.0,0.22000000000000003,0.2,0.3,0.1,100.0,100.0,100.0,100.0,7.5,8.33,12.5,4.17,1009.18,1009.5,1010.0,1008.2
